analysis_days,holding_days,off_exchange_threshold,price_stability_threshold,trade_count,avg_return,hit_rate,avg_off_exchange
3,2,45,0.5,86,0.76,50.0,53.536
3,2,45,1.0,155,0.397,50.968,53.09
3,2,45,1.5,239,0.672,51.046,53.767
3,2,45,2.0,297,0.639,52.862,53.773
3,2,45,2.5,366,0.733,52.732,53.929
3,2,50,0.5,42,0.745,45.238,60.16
3,2,50,1.0,77,0.291,51.948,59.13
3,2,50,1.5,131,0.836,51.145,59.172
3,2,50,2.0,168,0.932,54.167,58.827
3,2,50,2.5,210,0.941,53.333,58.917
3,3,20,0.5,367,1.373,62.125,40.829
3,3,20,1.0,725,0.79,57.241,40.247
3,3,20,1.5,1081,0.881,57.724,40.573
3,3,20,2.0,1358,0.755,56.775,40.546
3,3,20,2.5,1617,0.761,56.339,40.846
3,3,25,0.5,364,1.421,62.637,40.97
3,3,25,1.0,719,0.813,57.441,40.38
3,3,25,1.5,1073,0.87,57.875,40.698
3,3,25,2.0,1347,0.755,57.016,40.681
3,3,25,2.5,1606,0.761,56.538,40.961
3,3,30,0.5,349,1.41,61.605,41.557
3,3,30,1.0,684,0.813,56.579,41.017
3,3,30,1.5,1024,0.864,57.129,41.307
3,3,30,2.0,1284,0.758,56.464,41.303
3,3,30,2.5,1538,0.76,55.982,41.537
3,3,35,0.5,280,1.37,61.071,43.718
3,3,35,1.0,545,0.565,55.78,43.131
3,3,35,1.5,811,0.741,56.35,43.555
3,3,35,2.0,1021,0.662,56.317,43.5
3,3,35,2.5,1233,0.662,55.637,43.696
3,3,40,0.5,157,1.562,60.51,48.478
3,3,40,1.0,300,0.915,56.333,47.652
3,3,40,1.5,461,0.941,55.965,48.079
3,3,40,2.0,577,0.876,57.192,48.045
3,3,40,2.5,712,0.858,56.601,48.149
3,3,45,0.5,85,1.855,62.353,53.633
3,3,45,1.0,153,1.03,56.863,52.994
3,3,45,1.5,236,1.083,55.508,53.723
3,3,45,2.0,293,1.051,58.02,53.763
3,3,45,2.5,362,1.121,56.63,53.923
3,3,50,0.5,42,2.257,57.143,60.16
