date,symbol,total_market_volume,Close,Open,High,Low,total_off_exchange_volume,short_volume,short_exempt_volume,on_exchange_volume,off_exchange_pct,on_exchange_pct,short_pct_of_off_exchange
2025-05-09,GOOGL,32435300,152.5653076171875,153.98358884442797,154.86252969975314,152.01596958260927,12920955,3799749,20127,19514345,39.8,60.2,29.4
2025-05-12,GOOGL,44138800,158.26840209960938,157.2995737723926,158.90762762310243,156.06106765297667,16400732,3484541,36744,27738068,37.2,62.8,21.2
2025-05-13,GOOGL,42382100,159.33709716796875,158.59798647987657,160.37584814800852,155.97117700529293,16128815,3860530,18502,26253285,38.1,61.9,23.9
2025-05-14,GOOGL,48755900,165.1700439453125,159.7665968345665,166.7980779664445,159.4170139283214,17034570,4918697,23823,31721330,34.9,65.1,28.9
2025-05-15,GOOGL,33146700,163.76174926757812,165.63946564247587,166.00902860866202,162.1736602838883,11648291,3899840,7432,21498409,35.1,64.9,33.5
2025-05-16,GOOGL,42846900,165.9890594482422,167.52719070383273,169.14524229932235,165.4197413290067,12267800,4071662,6214,30579100,28.6,71.4,33.2
2025-05-19,GOOGL,30426100,166.338623046875,164.311078821177,166.43850822896752,164.02143617765117,10672208,3241124,2374,19753892,35.1,64.9,30.4
2025-05-20,GOOGL,46607700,163.78172302246094,166.22875761227516,168.2962620339302,162.7030270512069,17916057,6362988,37303,28691643,38.4,61.6,35.5
2025-05-21,GOOGL,73416000,168.35618591308594,163.49207927319333,172.93064990762463,163.36223158372133,27632937,10359809,52329,45783063,37.6,62.4,37.5
2025-05-22,GOOGL,74864400,170.66339111328125,171.6422171391164,176.55626639163424,170.50359615670786,27362275,11522327,42480,47502125,36.5,63.5,42.1
2025-05-23,GOOGL,35211400,168.26629638671875,168.85557933287677,169.7545002456487,167.68699586257836,11986496,3934212,28013,23224904,34.0,66.0,32.8
2025-05-27,GOOGL,37995700,172.69093322753906,169.9542560308247,172.9606110264557,169.79444583588602,12698579,4347662,9711,25297121,33.4,66.6,34.2
2025-05-28,GOOGL,34784000,172.15159606933594,172.95063181853965,175.0580811773991,171.70214322301487,9365352,3688175,10392,25418648,26.9,73.1,39.4
2025-05-29,GOOGL,29317300,171.65219116210938,173.78960291012612,174.20909322624098,170.42368271917738,8407269,2609825,5851,20910031,28.7,71.3,31.0
2025-05-30,GOOGL,52639900,171.5323486328125,171.14282080509608,172.0017815585655,167.23754486546525,9149607,2758484,12858,43490293,17.4,82.6,30.1
2025-06-02,GOOGL,38612300,168.82562255859375,167.637058963566,169.66460324672883,167.18760611208933,10071144,2839859,7903,28541156,26.1,73.9,28.2
2025-06-03,GOOGL,45084900,165.97906494140625,167.28749382619188,168.276287066322,165.08015922486254,14748025,3582195,22869,30336875,32.7,67.3,24.3
2025-06-04,GOOGL,26900800,167.8468017578125,166.53838821108508,168.01659436979696,166.15884281939123,10202752,2236252,5826,16698048,37.9,62.1,21.9
2025-06-05,GOOGL,36379100,168.00662231445312,170.1340365467451,170.72331951416996,167.3873615992156,11517656,2236251,13037,24861444,31.7,68.3,19.4
2025-06-06,GOOGL,35731800,173.46998596191406,170.6234412090639,174.2890017669552,170.6234412090639,12847075,3284746,10421,22884725,36.0,64.0,25.6
2025-06-09,GOOGL,28935900,176.08999633789062,174.5399932861328,176.47000122070312,174.3699951171875,9877290,2654230,41675,19058610,34.1,65.9,26.9
2025-06-10,GOOGL,61766100,178.60000610351562,176.1999969482422,181.11000061035156,174.91000366210938,21278706,8128201,12316,40487394,34.5,65.5,38.2
2025-06-11,GOOGL,31646800,177.35000610351562,179.77000427246094,180.3699951171875,176.75,9533205,2643063,2327,22113595,30.1,69.9,27.7
2025-06-12,GOOGL,20941900,175.6999969482422,176.17999267578125,176.72000122070312,174.75,7177066,2207455,4747,13764834,34.3,65.7,30.8
2025-06-13,GOOGL,27663100,174.6699981689453,172.44000244140625,177.1300048828125,172.38999938964844,8836463,3215379,14228,18826637,31.9,68.1,36.4
2025-06-16,GOOGL,27389200,176.77000427246094,174.72999572753906,176.94000244140625,174.64999389648438,7289430,2079099,9947,20099770,26.6,73.4,28.5
2025-06-17,GOOGL,24973000,175.9499969482422,175.6999969482422,177.36000061035156,174.5800018310547,9381209,3035093,22998,15591791,37.6,62.4,32.4
2025-06-18,GOOGL,28707500,173.32000732421875,176.00999450683594,176.55999755859375,173.1999969482422,9362788,3949175,2766,19344712,32.6,67.4,42.2
2025-06-20,GOOGL,75659900,166.63999938964844,173.9499969482422,174.33999633789062,165.4600067138672,17688633,5773862,10310,57971267,23.4,76.6,32.6
2025-06-23,GOOGL,57671000,165.19000244140625,166.27000427246094,167.33999633789062,162.0,19578766,4767999,36575,38092234,33.9,66.1,24.4
2025-06-24,GOOGL,40524300,166.77000427246094,166.9199981689453,168.22000122070312,166.1300048828125,14009414,4693238,5032,26514886,34.6,65.4,33.5
2025-06-25,GOOGL,35479000,170.67999267578125,167.6300048828125,172.36000061035156,167.5500030517578,12688956,4197396,28782,22790044,35.8,64.2,33.1
2025-06-26,GOOGL,31796700,173.5399932861328,172.42999267578125,173.69000244140625,169.94000244140625,11286390,3657326,6154,20510310,35.5,64.5,32.4
2025-06-27,GOOGL,108140200,178.52999877929688,173.5399932861328,178.67999267578125,171.72999572753906,20321166,8632334,23632,87819034,18.8,81.2,42.5
2025-06-30,GOOGL,63378900,176.22999572753906,180.77999877929688,181.22999572753906,174.5800018310547,19909118,8748821,27898,43469782,31.4,68.6,43.9
