Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Aumento_Volume_%,Tamanho_Rompimento_%,Retorno_5d,Retorno_Máximo_5d,Retorno_Mínimo_5d,Retorno_10d,Retorno_Máximo_10d,Retorno_Mínimo_10d,Retorno_20d,Retorno_Máximo_20d,Retorno_Mínimo_20d
2025-02-20 00:00:00,AMPL,14.4399995803833,4087700.0,621520.0,557.69,13.7,-15.37,3.05,-15.93,-15.58,3.05,-18.35,-18.35,3.05,-22.09
2025-05-12 00:00:00,AMPL,11.970000267028809,5009900.0,1168830.0,328.63,9.52,-1.71,3.76,-11.03,5.6,5.97,-11.03,5.68,11.4,-11.03
2025-06-12 00:00:00,AMPX,3.940000057220459,11693400.0,3495900.0,234.49,17.61,-2.54,8.38,-16.5,3.3,10.41,-16.5,70.81,76.65,-16.5
2025-06-27 00:00:00,AMZZ,31.979999542236328,622100.0,198280.0,213.75,3.86,0.16,0.88,-5.47,1.78,2.72,-5.47,,,
2025-05-07 00:00:00,ANGI,15.149999618530272,4676900.0,1142650.0,309.3,14.34,6.34,12.08,-7.92,4.69,12.81,-7.92,9.64,13.27,-7.92
2025-05-28 00:00:00,ANGO,10.260000228881836,1087300.0,300310.0,262.06,4.8,6.82,8.38,-8.77,6.24,18.03,-8.77,-3.8,18.03,-8.77
2025-06-03 00:00:00,ANGO,10.949999809265137,1984700.0,606790.0,227.08,5.29,1.74,10.59,-7.31,-7.21,10.59,-11.51,-14.25,10.59,-14.79
2025-03-17 00:00:00,ANTE,1.6100000143051147,109758800.0,492240.0,22197.82,85.06,-68.32,10.56,-72.67,-71.43,10.56,-76.4,-63.35,10.56,-76.4
2025-05-28 00:00:00,ANVS,2.430000066757202,1431600.0,412780.0,246.82,10.45,33.33,43.21,-16.05,15.23,43.21,-16.05,-10.7,43.21,-16.05
2025-05-13 00:00:00,ANY,0.8100000023841858,1359800.0,361310.0,276.35,16.88,12.59,28.4,-18.15,1.36,28.4,-18.15,-7.41,28.4,-18.15
2025-05-06 00:00:00,AORT,27.420000076293945,2665300.0,370800.0,618.8,11.42,5.43,7.51,-10.54,6.38,8.42,-10.54,4.52,9.41,-10.54
2025-07-08 00:00:00,API,4.179999828338623,1800200.0,270410.0,565.73,2.7,0.0,3.21,-10.29,,,,,,
2025-06-02 00:00:00,APLD,10.140000343322754,239746500.0,39358400.0,509.14,31.52,28.4,52.07,-20.81,13.91,52.07,-20.81,-3.75,52.07,-20.81
2025-06-04 00:00:00,APLD,13.25,219053300.0,65815660.0,232.83,23.72,-9.06,16.38,-21.06,-19.92,16.38,-21.06,-21.13,16.38,-28.98
2025-05-16 00:00:00,APLT,0.6029999852180481,7869700.0,2053100.0,283.31,20.6,-32.01,5.8,-38.64,-40.96,5.8,-42.79,-38.64,5.8,-42.79
2025-06-17 00:00:00,APPS,7.539999961853027,77088900.0,5483410.0,1305.86,31.59,-31.17,3.05,-33.29,-22.41,3.05,-34.08,-31.03,3.05,-34.08
