Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Retorno_5d,Preço_5d,Retorno_10d,Preço_10d,Retorno_20d,Preço_20d
2025-04-03 00:00:00,ACI,22.756311416625977,7863900.0,4885860.0,-6.77,21.22,-5.24,21.56,-3.63,21.93
2025-07-07 00:00:00,ACI,22.739999771118164,8794100.0,5387560.0,-2.68,22.13,,,,
2025-02-19 00:00:00,ACIC,13.380000114440918,223200.0,119740.0,-4.41,12.79,-4.48,12.78,-9.94,12.05
2025-05-08 00:00:00,ACIC,11.920000076293944,160100.0,106510.0,-7.72,11.0,-7.97,10.97,-8.39,10.92
2025-06-06 00:00:00,ACIU,2.039999961853028,428900.0,89900.0,-4.41,1.95,-10.29,1.83,1.47,2.07
2025-02-28 00:00:00,ACIW,57.34999847412109,1482200.0,669920.0,-7.22,53.21,-7.72,52.92,-5.35,54.28
2025-04-01 00:00:00,ACIW,56.70000076293945,1310600.0,642120.0,-15.34,48.0,-7.9,52.22,-5.89,53.36
2025-05-02 00:00:00,ACLS,52.29999923706055,913600.0,555560.0,10.25,57.66,17.74,61.58,7.95,56.46
2025-05-06 00:00:00,ACLS,54.68999862670898,1149000.0,654080.0,14.94,62.86,14.21,62.46,12.43,61.49
2025-06-09 00:00:00,ACLS,67.61000061035156,1092300.0,502240.0,2.0,68.96,3.0,69.64,10.0,74.37
2025-06-10 00:00:00,ACLS,70.76000213623047,1560500.0,578830.0,-3.22,68.48,-0.85,70.16,6.91,75.65
2025-07-17 00:00:00,ACLX,70.94999694824219,535000.0,340260.0,,,,,,
2025-02-19 00:00:00,ACMR,26.440000534057617,3367300.0,1393810.0,4.73,27.69,0.83,26.66,10.51,29.22
2025-03-03 00:00:00,ACNB,42.91350936889648,53700.0,35470.0,-7.07,39.88,-4.3,41.07,-4.85,40.83
2025-03-06 00:00:00,ACNT,11.84000015258789,38400.0,19240.0,4.22,12.34,8.95,12.9,8.7,12.87
