sector,signal_type,analysis_days,holding_days,volume_threshold,price_threshold,hit_rate,avg_return,trade_count,tickers_count
NON_TECH,SELL_STRONG,2,1,1.5,1.0,47.2972972972973,-1.710120109908023,74,20
NON_TECH,BUY_STRONG,2,1,1.5,1.0,49.01960784313725,0.28400019107486535,102,20
NON_TECH,BUY_MODERATE,2,1,1.5,1.0,71.42857142857143,2.225183623298551,7,20
TECH,SELL_STRONG,2,1,1.5,1.5,45.83333333333333,-0.507738564544172,24,9
TECH,BUY_STRONG,2,1,1.5,1.5,45.83333333333333,-1.9415447918758266,24,9
TECH,BUY_MODERATE,2,1,1.5,1.5,50.0,1.199687516940226,12,9
NON_TECH,SELL_STRONG,2,1,1.5,1.5,41.37931034482759,-2.3209135857925483,58,20
NON_TECH,BUY_STRONG,2,1,1.5,1.5,47.61904761904761,0.04614600867160653,84,20
NON_TECH,BUY_MODERATE,2,1,1.5,1.5,50.0,1.3686975339523721,12,20
TECH,SELL_STRONG,2,1,1.5,2.0,56.25,-0.48601490717197376,16,9
TECH,BUY_STRONG,2,1,1.5,2.0,33.33333333333333,-1.8061041963571414,15,9
TECH,BUY_MODERATE,2,1,1.5,2.0,56.25,1.5294740711931625,16,9
NON_TECH,BUY_STRONG,2,1,1.5,2.0,48.61111111111111,0.13133203028285184,72,20
NON_TECH,SELL_STRONG,2,1,1.5,2.0,46.51162790697674,-1.704943320708303,43,20
NON_TECH,BUY_MODERATE,2,1,1.5,2.0,46.666666666666664,0.6984061225756675,15,20
TECH,BUY_STRONG,2,1,1.5,2.5,30.76923076923077,-2.0906207778295336,13,9
TECH,BUY_MODERATE,2,1,1.5,2.5,58.82352941176471,2.537333145246516,17,9
TECH,SELL_STRONG,2,1,1.5,2.5,50.0,-1.3544565352805822,12,9
NON_TECH,BUY_STRONG,2,1,1.5,2.5,50.877192982456144,0.7490539412291407,57,20
NON_TECH,SELL_STRONG,2,1,1.5,2.5,47.22222222222222,-1.6400693169407397,36,20
NON_TECH,BUY_MODERATE,2,1,1.5,2.5,48.0,0.22305135153724065,25,20
TECH,SELL_STRONG,2,1,1.6,0.5,46.666666666666664,-1.7005616556942662,30,9
TECH,BUY_STRONG,2,1,1.6,0.5,52.0,-0.6177438222137015,25,9
NON_TECH,SELL_STRONG,2,1,1.6,0.5,53.52112676056338,-1.1323198269701067,71,20
NON_TECH,BUY_STRONG,2,1,1.6,0.5,51.11111111111111,0.18451053656348715,90,20
NON_TECH,BUY_MODERATE,2,1,1.6,0.5,80.0,2.691343167611651,5,20
TECH,SELL_STRONG,2,1,1.6,1.0,48.0,-1.7591885910934872,25,9
TECH,BUY_STRONG,2,1,1.6,1.0,54.54545454545454,-0.6447670149631874,22,9
TECH,BUY_MODERATE,2,1,1.6,1.0,71.42857142857143,2.9642757465283567,7,9
NON_TECH,SELL_STRONG,2,1,1.6,1.0,50.79365079365079,-1.4032636383107662,63,20
NON_TECH,BUY_STRONG,2,1,1.6,1.0,51.19047619047619,0.02375056145579336,84,20
NON_TECH,BUY_MODERATE,2,1,1.6,1.0,71.42857142857143,2.225183623298551,7,20
TECH,SELL_STRONG,2,1,1.6,1.5,52.63157894736842,-0.3685381450947962,19,9
TECH,BUY_STRONG,2,1,1.6,1.5,50.0,-1.6984448022790133,20,9
TECH,BUY_MODERATE,2,1,1.6,1.5,55.55555555555556,2.1759870517731925,9,9
NON_TECH,SELL_STRONG,2,1,1.6,1.5,44.680851063829785,-2.052547001198987,47,20
NON_TECH,BUY_STRONG,2,1,1.6,1.5,50.0,-0.3937317818475059,68,20
NON_TECH,BUY_MODERATE,2,1,1.6,1.5,60.0,2.115125527302223,10,20
TECH,SELL_STRONG,2,1,1.6,2.0,64.28571428571429,-0.30352582793739635,14,9
TECH,BUY_STRONG,2,1,1.6,2.0,41.66666666666667,-1.1111644712160718,12,9
TECH,BUY_MODERATE,2,1,1.6,2.0,58.333333333333336,1.6271281848397219,12,9
NON_TECH,BUY_STRONG,2,1,1.6,2.0,51.724137931034484,-0.2875087097629019,58,20
NON_TECH,SELL_STRONG,2,1,1.6,2.0,48.57142857142857,-2.0256718383908296,35,20
NON_TECH,BUY_MODERATE,2,1,1.6,2.0,58.333333333333336,1.3630312665824658,12,20
TECH,BUY_STRONG,2,1,1.6,2.5,40.0,-1.3420480821019676,10,9
TECH,BUY_MODERATE,2,1,1.6,2.5,58.333333333333336,1.6271281848397219,12,9
TECH,SELL_STRONG,2,1,1.6,2.5,54.54545454545454,-1.3262193181190345,11,9
NON_TECH,BUY_STRONG,2,1,1.6,2.5,53.333333333333336,0.25669649210284645,45,20
